model_id,analysis_role,condition_id,seed,candidate_representation,delta_log_loss,delta_brier_score,log_loss_sign,brier_score_sign,log_loss_sign_reversal_vs_baseline,brier_score_sign_reversal_vs_baseline,log_loss_rank_order,brier_score_rank_order,log_loss_rank_reversal_vs_baseline,brier_score_rank_reversal_vs_baseline
observable_pfa_logistic_primary,primary,noise_g20_s10,20260830,coarse_linguistic_families,0.005153998830241369,0.002425234369742929,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s10,20260830,structural_split2,0.001970771292817197,0.0009424447650135115,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260830,coarse_linguistic_families,0.0025334075626278763,0.0012973661430797367,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260830,structural_split2,0.010781824075628554,0.004897668338940425,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260830,coarse_linguistic_families,0.07750799756043636,0.021789728398064312,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260830,structural_split2,-0.032703185676472124,-0.008479523130961841,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s10,20260831,coarse_linguistic_families,0.004938254576601797,0.0023338096070982806,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s10,20260831,structural_split2,0.002236780603503963,0.0010782494213837368,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260831,coarse_linguistic_families,0.001440394261012834,0.0008238921921486508,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260831,structural_split2,0.010302933116389634,0.004654232541453779,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260831,coarse_linguistic_families,0.07958479373326521,0.022289439149802415,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260831,structural_split2,-0.03542753072833693,-0.008918187863362737,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260829,coarse_linguistic_families,0.00569206284931234,0.0028231204886639827,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260829,structural_split2,0.0025256018773430755,0.0012494832242764264,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260829,coarse_linguistic_families,0.0029300037172839133,0.0017846810250604639,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260829,structural_split2,0.00844750535393235,0.0035363925717034617,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260829,coarse_linguistic_families,0.07895464709539357,0.025295477447436654,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260829,structural_split2,-0.030601066839040403,-0.00967667258685806,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260830,coarse_linguistic_families,0.0051285378801319,0.002547438865309809,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260830,structural_split2,0.0021588731488858537,0.0010710950892237614,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260830,coarse_linguistic_families,0.00297472673424215,0.0018714409588413972,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260830,structural_split2,0.008150180465432255,0.003490907650523123,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260830,coarse_linguistic_families,0.0787881276211494,0.02497872544518459,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260830,structural_split2,-0.02919819315497285,-0.009335491803734275,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260831,coarse_linguistic_families,0.005110198770608809,0.0025388966639547372,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g10_s20,20260831,structural_split2,0.0021637850774857137,0.0010737656687543062,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260831,coarse_linguistic_families,0.0020153424910512863,0.0013875712497725678,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g10_s20,20260831,structural_split2,0.008116117075707252,0.0034549290907291974,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260831,coarse_linguistic_families,0.07687208855857475,0.025015555533704215,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g10_s20,20260831,structural_split2,-0.02562975518637367,-0.007847029232414371,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260829,coarse_linguistic_families,0.0034363697169934593,0.0016920887082712,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260829,structural_split2,0.0015411601999026914,0.000763279955793561,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s20,20260829,coarse_linguistic_families,-0.00018569463180706514,0.00018374762835093872,negative,positive,True,False,coarse_linguistic_families>true_kstar>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,True,False
empirical_history_secondary,secondary,noise_g20_s20,20260829,structural_split2,0.009561479856595057,0.0041715432288260135,positive,positive,False,False,coarse_linguistic_families>true_kstar>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,True,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260829,coarse_linguistic_families,0.08372771900793008,0.02495199345980409,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260829,structural_split2,-0.03876854766541682,-0.01120604080112314,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260830,coarse_linguistic_families,0.002906567499786017,0.0014294900584760628,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260830,structural_split2,0.0013715906955530377,0.0006781427736567702,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s20,20260830,coarse_linguistic_families,0.0004282490223277424,0.0004740917755520213,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g20_s20,20260830,structural_split2,0.009646545177875332,0.004271886316667084,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260830,coarse_linguistic_families,0.07803890172659289,0.023106343456073763,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260830,structural_split2,-0.035697095404902734,-0.010478680655927053,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260831,coarse_linguistic_families,0.0029039314256102955,0.0014292347862025767,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s20,20260831,structural_split2,0.0016043520047054338,0.000795575793669151,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s20,20260831,coarse_linguistic_families,-0.0011163502747580933,-0.0002759959895188291,negative,negative,True,True,coarse_linguistic_families>true_kstar>structural_split2,coarse_linguistic_families>true_kstar>structural_split2,True,True
empirical_history_secondary,secondary,noise_g20_s20,20260831,structural_split2,0.009463483221516578,0.004174748860941102,positive,positive,False,False,coarse_linguistic_families>true_kstar>structural_split2,coarse_linguistic_families>true_kstar>structural_split2,True,True
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260831,coarse_linguistic_families,0.07985326685715877,0.024010446458721746,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s20,20260831,structural_split2,-0.036343047333734946,-0.010197544822212024,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260829,coarse_linguistic_families,0.008761810792576319,0.004290302210625763,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260829,structural_split2,0.004677843357100975,0.002209009151146968,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,aggregation_product,20260829,coarse_linguistic_families,0.00863147781187501,0.004791379634594417,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
empirical_history_secondary,secondary,aggregation_product,20260829,structural_split2,0.004000586922859206,0.0013322246983596409,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
bkt_mean_full_credit_secondary,secondary,aggregation_product,20260829,coarse_linguistic_families,0.07269611155301292,0.02574856993661645,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
